Bandit,Reward,Algorithm
3,4.964872413898208,ThompsonSampling
2,2.564717363284482,ThompsonSampling
3,5.147428158969484,ThompsonSampling
3,3.3744582133250542,ThompsonSampling
3,4.880655471469387,ThompsonSampling
1,3.4798111853748344,ThompsonSampling
3,4.218609362546217,ThompsonSampling
3,4.404355884249484,ThompsonSampling
3,3.803673760614455,ThompsonSampling
3,4.063438859596343,ThompsonSampling
3,4.365755755833426,ThompsonSampling
2,5.046011720971764,ThompsonSampling
2,2.1370179360374744,ThompsonSampling
3,3.9086827291236528,ThompsonSampling
3,2.560561413762964,ThompsonSampling
3,5.372159287617206,ThompsonSampling
3,2.1141359119768186,ThompsonSampling
3,1.7248277460711048,ThompsonSampling
3,5.274183424327987,ThompsonSampling
3,3.125567309546901,ThompsonSampling
3,4.995332385589817,ThompsonSampling
3,2.240708837457076,ThompsonSampling
3,4.92237462607651,ThompsonSampling
2,1.8994526432077508,ThompsonSampling
1,1.4374085414108626,ThompsonSampling
2,2.567531200401156,ThompsonSampling
2,3.843047480643776,ThompsonSampling
2,3.2433505880615217,ThompsonSampling
3,4.435060523417681,ThompsonSampling
2,4.580007892571665,ThompsonSampling
3,2.2797293787495523,ThompsonSampling
3,5.546996210005757,ThompsonSampling
3,4.192024835060316,ThompsonSampling
3,6.635378231907286,ThompsonSampling
3,5.061345936769075,ThompsonSampling
3,5.8180976388923,ThompsonSampling
3,4.578716253080013,ThompsonSampling
3,1.9677305836603036,ThompsonSampling
3,4.984348723037411,ThompsonSampling
3,3.33668849681394,ThompsonSampling
3,3.001976942589478,ThompsonSampling
3,4.452162780768398,ThompsonSampling
3,3.508381073125805,ThompsonSampling
2,4.47565975500283,ThompsonSampling
3,4.772587146908188,ThompsonSampling
3,4.38758194659386,ThompsonSampling
3,2.5440074279379292,ThompsonSampling
3,5.286823911076748,ThompsonSampling
3,2.773075906938558,ThompsonSampling
3,3.655579500605635,ThompsonSampling
3,4.0830736680606226,ThompsonSampling
3,4.120040145929852,ThompsonSampling
2,4.095749968039214,ThompsonSampling
3,4.910240920829415,ThompsonSampling
3,4.208571053739401,ThompsonSampling
3,4.12722805353055,ThompsonSampling
3,3.8188491660440538,ThompsonSampling
3,2.659767589308851,ThompsonSampling
3,5.303617723900284,ThompsonSampling
3,3.1330980897298044,ThompsonSampling
3,6.294809327095615,ThompsonSampling
3,4.411015578402121,ThompsonSampling
3,5.036918580632422,ThompsonSampling
3,4.4907121152363185,ThompsonSampling
3,2.5543792780976133,ThompsonSampling
3,3.287554780489255,ThompsonSampling
3,2.9594097777227013,ThompsonSampling
2,3.6939406995684037,ThompsonSampling
3,4.032413922591511,ThompsonSampling
3,3.593314294866846,ThompsonSampling
2,2.4704140966003583,ThompsonSampling
3,4.539512351456279,ThompsonSampling
3,4.079717723387295,ThompsonSampling
3,3.6612403855316584,ThompsonSampling
3,5.9054250861957716,ThompsonSampling
3,2.817434132730644,ThompsonSampling
3,5.266657138840036,ThompsonSampling
3,1.9923345514872994,ThompsonSampling
3,3.5401018373543978,ThompsonSampling
3,1.937053918479715,ThompsonSampling
3,3.0246198137930786,ThompsonSampling
3,4.582121667151735,ThompsonSampling
3,4.156560968136644,ThompsonSampling
3,5.065593619124927,ThompsonSampling
3,2.708702430777717,ThompsonSampling
2,3.2893260697768425,ThompsonSampling
3,5.951444474859446,ThompsonSampling
3,3.8919718567815513,ThompsonSampling
