Bandit,Reward,Algorithm
2,2.223754884410434,EpsilonGreedy
3,6.110485714616347,EpsilonGreedy
0,0.841635235155541,EpsilonGreedy
2,1.0281682920977262,EpsilonGreedy
0,1.0468122785635872,EpsilonGreedy
1,2.88286779762616,EpsilonGreedy
3,4.51972911687915,EpsilonGreedy
3,3.3537592879396683,EpsilonGreedy
0,0.10881494936307423,EpsilonGreedy
1,0.4860261524300251,EpsilonGreedy
2,5.328551963475027,EpsilonGreedy
1,2.5566419702484677,EpsilonGreedy
2,1.2262479001593904,EpsilonGreedy
1,2.5186062945881718,EpsilonGreedy
2,5.258297044425274,EpsilonGreedy
1,2.69989899632124,EpsilonGreedy
0,-0.05888084323252918,EpsilonGreedy
0,0.8526124986607311,EpsilonGreedy
1,3.402439072737306,EpsilonGreedy
2,2.8811597489886847,EpsilonGreedy
3,3.8865327137255132,EpsilonGreedy
0,1.4666895668581736,EpsilonGreedy
0,1.603066273980608,EpsilonGreedy
2,1.7549319509648031,EpsilonGreedy
0,1.2770848899686507,EpsilonGreedy
0,0.8575218499968315,EpsilonGreedy
3,3.6137073950415344,EpsilonGreedy
3,3.497818145932262,EpsilonGreedy
2,4.491136345945309,EpsilonGreedy
2,2.4343885261870706,EpsilonGreedy
1,1.6997704682441168,EpsilonGreedy
3,4.160553665873871,EpsilonGreedy
0,0.2509079673415534,EpsilonGreedy
3,1.0407835991546057,EpsilonGreedy
0,0.9679506542396286,EpsilonGreedy
0,1.122655451943584,EpsilonGreedy
2,3.4366558004707723,EpsilonGreedy
3,2.6763386830791602,EpsilonGreedy
2,3.9728988167943853,EpsilonGreedy
3,4.844699660538193,EpsilonGreedy
1,1.7380183805631915,EpsilonGreedy
2,1.7797563679881658,EpsilonGreedy
3,4.667862105337816,EpsilonGreedy
3,3.164528087599943,EpsilonGreedy
0,1.0240505691999437,EpsilonGreedy
3,1.8258948621790196,EpsilonGreedy
3,2.8804835900288865,EpsilonGreedy
0,0.592897776540785,EpsilonGreedy
1,2.8706415379634045,EpsilonGreedy
0,0.6716786074574621,EpsilonGreedy
1,1.0847935811084128,EpsilonGreedy
0,2.028499664331794,EpsilonGreedy
3,4.279660517534317,EpsilonGreedy
2,3.4896649264423893,EpsilonGreedy
3,2.685427957666796,EpsilonGreedy
3,2.918553934856415,EpsilonGreedy
2,2.316132135253116,EpsilonGreedy
0,0.4434040748953515,EpsilonGreedy
1,1.964432829607327,EpsilonGreedy
2,2.4940872729333385,EpsilonGreedy
3,5.047413523670308,EpsilonGreedy
0,0.42610653739369486,EpsilonGreedy
3,4.630001970294949,EpsilonGreedy
0,2.089293120173768,EpsilonGreedy
3,5.522817807319916,EpsilonGreedy
2,3.619681344935146,EpsilonGreedy
3,5.076840441158247,EpsilonGreedy
2,2.1606558988566293,EpsilonGreedy
0,1.7884916814053051,EpsilonGreedy
2,1.4167100009310236,EpsilonGreedy
3,5.8083156556321125,EpsilonGreedy
3,2.784948751733133,EpsilonGreedy
1,1.771439931773073,EpsilonGreedy
0,0.3472527264011547,EpsilonGreedy
3,3.177589414874783,EpsilonGreedy
2,2.273433779704626,EpsilonGreedy
3,5.063805220518015,EpsilonGreedy
2,2.6388446630513966,EpsilonGreedy
0,0.7574280852836957,EpsilonGreedy
1,1.0517089833883035,EpsilonGreedy
0,0.41438283657225117,EpsilonGreedy
2,3.1129970100807274,EpsilonGreedy
3,4.174503280214395,EpsilonGreedy
3,5.481503368074067,EpsilonGreedy
0,1.531023896478822,EpsilonGreedy
1,2.0916101727864116,EpsilonGreedy
0,1.026224599065119,EpsilonGreedy
3,6.043477519498657,EpsilonGreedy
2,3.0887238092678784,EpsilonGreedy
3,4.506251099363458,EpsilonGreedy
0,-0.9455465531734197,EpsilonGreedy
0,0.3822138029779085,EpsilonGreedy
1,2.301424498937595,EpsilonGreedy
1,3.452597263579931,EpsilonGreedy
2,2.663727569000966,EpsilonGreedy
3,3.124245344983981,EpsilonGreedy
1,1.314203775005316,EpsilonGreedy
0,2.74632114257768,EpsilonGreedy
1,1.3404679134968789,EpsilonGreedy
0,2.3435330965511296,EpsilonGreedy
2,2.9559134835876852,EpsilonGreedy
1,1.0181648606352303,EpsilonGreedy
3,4.4692998992106565,EpsilonGreedy
0,-0.17005868422848391,EpsilonGreedy
2,3.7613126139363633,EpsilonGreedy
0,-0.26898161151933975,EpsilonGreedy
1,2.8147207676803427,EpsilonGreedy
0,1.2147279236795034,EpsilonGreedy
2,3.2754367482036058,EpsilonGreedy
0,1.8335003946938713,EpsilonGreedy
1,2.325532121250344,EpsilonGreedy
2,2.3203675896314184,EpsilonGreedy
2,3.7323167466972382,EpsilonGreedy
2,2.996519347692534,EpsilonGreedy
3,4.264642360332328,EpsilonGreedy
2,3.7435215795152814,EpsilonGreedy
0,1.7604809452380352,EpsilonGreedy
2,3.381964968621098,EpsilonGreedy
0,0.04135390180609311,EpsilonGreedy
2,4.097169198794088,EpsilonGreedy
1,3.360968391248397,EpsilonGreedy
3,1.6823018587842946,EpsilonGreedy
3,4.737603892902223,EpsilonGreedy
0,0.2480729463469915,EpsilonGreedy
0,1.9576685198931294,EpsilonGreedy
1,3.0025471986755075,EpsilonGreedy
2,3.133238902604783,EpsilonGreedy
3,4.6878660258866285,EpsilonGreedy
0,0.028806563778541627,EpsilonGreedy
0,2.184681165919244,EpsilonGreedy
2,3.976995625324853,EpsilonGreedy
1,4.051231335922532,EpsilonGreedy
0,-0.32773241979038303,EpsilonGreedy
3,4.16230450712055,EpsilonGreedy
1,0.43099714896064256,EpsilonGreedy
1,3.0141898983408133,EpsilonGreedy
2,2.3176250183219613,EpsilonGreedy
1,2.261543497689698,EpsilonGreedy
0,0.04474223168565228,EpsilonGreedy
2,1.3908043521343918,EpsilonGreedy
1,3.260064260780622,EpsilonGreedy
0,0.4489704795282259,EpsilonGreedy
0,0.277502675411718,EpsilonGreedy
3,5.654858794084797,EpsilonGreedy
1,2.3026877345144348,EpsilonGreedy
3,3.2612478417687507,EpsilonGreedy
3,3.64756285774455,EpsilonGreedy
0,0.5899934731181853,EpsilonGreedy
1,2.154046973060373,EpsilonGreedy
0,2.909690174264187,EpsilonGreedy
0,0.8347898287441851,EpsilonGreedy
1,0.8068469956456128,EpsilonGreedy
0,1.0996512358772201,EpsilonGreedy
3,4.951504683434574,EpsilonGreedy
0,1.221388775755364,EpsilonGreedy
3,4.513133915738084,EpsilonGreedy
2,2.0242353185820927,EpsilonGreedy
1,0.5131581886777712,EpsilonGreedy
0,2.5218042257079554,EpsilonGreedy
3,3.7300753660516595,EpsilonGreedy
2,1.9159052842324464,EpsilonGreedy
3,5.021977104872988,EpsilonGreedy
0,-0.435535420662569,EpsilonGreedy
1,0.7560834284299061,EpsilonGreedy
1,2.174163341669687,EpsilonGreedy
2,4.5558823022793025,EpsilonGreedy
3,3.709452957838664,EpsilonGreedy
2,2.2276550769439734,EpsilonGreedy
2,4.196364800201095,EpsilonGreedy
3,3.425269813417392,EpsilonGreedy
0,1.5717592235720126,EpsilonGreedy
2,4.019812883797761,EpsilonGreedy
3,5.3663063619713505,EpsilonGreedy
1,1.0257619995251677,EpsilonGreedy
3,3.3608213078609803,EpsilonGreedy
1,3.1911028503377077,EpsilonGreedy
3,3.564861229174896,EpsilonGreedy
3,3.4826337944880636,EpsilonGreedy
0,0.7273323110505627,EpsilonGreedy
0,2.311883007717501,EpsilonGreedy
0,1.0684105262274621,EpsilonGreedy
3,4.409383257787547,EpsilonGreedy
3,3.8952260459372687,EpsilonGreedy
3,1.8791255845991635,EpsilonGreedy
2,1.9121127760095826,EpsilonGreedy
2,4.153571305286178,EpsilonGreedy
3,3.903925434537684,EpsilonGreedy
0,0.7158435908902746,EpsilonGreedy
2,3.6275294455016653,EpsilonGreedy
0,-1.515504654835964,EpsilonGreedy
1,1.3344497034508929,EpsilonGreedy
3,4.275404982697388,EpsilonGreedy
0,0.6347638633399246,EpsilonGreedy
1,2.3198421488140384,EpsilonGreedy
1,3.9094733277065226,EpsilonGreedy
3,3.4185792810050772,EpsilonGreedy
0,1.5384638579640129,EpsilonGreedy
2,2.6654051654323934,EpsilonGreedy
2,3.1926770479643927,EpsilonGreedy
0,1.0276208043599062,EpsilonGreedy
3,4.269708162708522,EpsilonGreedy
3,4.3663731397087755,EpsilonGreedy
0,-0.14332670787380208,EpsilonGreedy
0,0.9031330508458337,EpsilonGreedy
0,1.4230121690680047,EpsilonGreedy
2,3.99879047367009,EpsilonGreedy
2,2.7456535286012898,EpsilonGreedy
3,2.9981327812616416,EpsilonGreedy
